Model Family,Model Name,Developer,Release Date,Architecture,Total Parameters,Active Parameters,Parameter Sizes Available,Context Length,License,HuggingFace Monthly Downloads,Estimated User Base / Adoption,Top Customers / Partners,Post-Training RL Method,Post-Training RL Details,RL Quantification / Scale,Key Benchmarks (MMLU / MATH-500 / HumanEval)
Llama,Llama 4 Scout,Meta,Apr 2025,MoE (Transformer),109B,17B,"109B (Scout), 400B (Maverick), ~2T (Behemoth in training)",10M tokens (Scout) / 1M tokens (Maverick),Llama Community License,"~350M+ cumulative downloads (all Llama versions, as of mid-2024); 10x growth YoY","700M+ cumulative downloads across all Llama versions; 20M+ monthly downloads; most downloaded open-source LLM family","AWS, Azure, Google Cloud, NVIDIA, Databricks, Groq, Dell, Snowflake, IBM watsonx, Oracle Cloud, Accenture, Deloitte, PwC, Infosys","SFT + Rejection Sampling (RS) + Direct Preference Optimization (DPO), iterative multi-round alignment","Multiple rounds of SFT → RS → DPO on top of pre-trained model; synthetic data generation for SFT at each round; 405B model used to improve post-training of smaller models","Multiple iterative rounds; majority of SFT data is synthetic; extensive human preference data for DPO","88.5 / 90.2 / 82.6 (Llama 3.1 405B-Instruct)"
Llama,Llama 4 Maverick,Meta,Apr 2025,MoE (Transformer),400B,17B,"109B (Scout), 400B (Maverick), ~2T (Behemoth in training)",1M tokens,Llama Community License,See Llama 4 Scout row,See Llama 4 Scout row,See Llama 4 Scout row,See Llama 4 Scout row,"128 experts; trained on up to 40T tokens across 200 languages; native multimodality (text + image)",See Llama 4 Scout row,See Llama 4 Scout row
Llama,Llama 3.1 405B,Meta,Jul 2024,Dense Transformer,405B,405B,"8B, 70B, 405B",128K tokens,Llama Community License,See Llama 4 Scout row,See Llama 4 Scout row,See Llama 4 Scout row,"SFT + Rejection Sampling (RS) + DPO, iterative multi-round","Pre-trained on 15T+ tokens; iterative post-training with SFT, RS, DPO each round; synthetic data generation across capabilities","Trained on 16K+ H100 GPUs; multiple rounds of alignment","88.6 / 73.8 / 77.2 (Llama 3.1 405B-Instruct)"
DeepSeek,DeepSeek-V3,DeepSeek (China),Dec 2024,MoE (Multi-head Latent Attention + DeepSeekMoE),671B,37B,"671B (V3), 671B (R1), distilled: 1.5B-70B",128K tokens,MIT License (code) / Model License (weights),~938K/month (V3); ~1.76M/month (R1),"110M+ app downloads by Feb 2025; peaked at ~97M weekly active users; #1 on US app stores Jan 2025","Available via DeepSeek API platform; widely adopted by developers globally; integrated into major inference frameworks (vLLM, SGLang, TensorRT-LLM)","SFT + RL (knowledge distillation from R1 for V3); pure large-scale RL for R1-Zero; cold-start data + RL for R1","V3: Pre-trained on 14.8T tokens with FP8 mixed precision; post-training distills reasoning from R1 into V3. R1-Zero: pure RL without SFT, first open validation that reasoning emerges from RL alone. R1: cold-start SFT data + two-stage RL + two-stage SFT","V3 total training: 2.788M H800 GPU hours (only 0.1M for post-training); R1 uses GRPO (Group Relative Policy Optimization) — no critic model needed; 800K curated samples for distilled models","V3: 88.5 / 90.2 / 82.6; R1: 90.8 / 97.3 / — (R1 focuses on reasoning)"
DeepSeek,DeepSeek-R1,DeepSeek (China),Jan 2025,MoE (same as V3-Base),671B,37B,"671B (R1), distilled: 1.5B, 7B, 8B, 14B, 32B, 70B",128K tokens,MIT License,~1.76M/month,See DeepSeek-V3 row,See DeepSeek-V3 row,"GRPO (Group Relative Policy Optimization) — pure RL without SFT for R1-Zero; cold-start data + multi-stage RL + SFT for R1","Pioneered RL-only reasoning: R1-Zero trained with RL only (no SFT) showing emergent CoT, self-verification, reflection. R1 adds cold-start data before RL with two RL stages (reasoning pattern discovery + human preference alignment) and two SFT stages","GRPO eliminates need for critic/value model, reducing training compute ~50% vs PPO; distilled into 6 smaller models (1.5B-70B) using 800K generated samples","R1: 90.8 / 97.3 / 96.3 (Codeforces percentile); AIME 2024: 79.8% pass@1"
Qwen,Qwen2.5-72B-Instruct,Alibaba Cloud,Sep 2024,Dense Transformer,72B,72B,"0.5B, 1.5B, 3B, 7B, 14B, 32B, 72B",128K tokens (generation up to 8K),Apache 2.0,~751K/month,"Widely used in China and globally; base model for DeepSeek-R1 distilled models; QwQ reasoning variant popular","Alibaba Cloud customers; integrated into Alibaba ecosystem; used as base for many community fine-tunes and distillations","SFT + RLHF (PPO-style) + DPO","Pre-trained on high-quality data; SFT with specialized expert models for code and math; RLHF alignment; iterative improvement","Significant investment in coding and mathematics expert models; 29+ language support; used as base for QwQ-32B reasoning model via RL","85.3 / 80.0 / 77.3 (Qwen2.5-72B-Instruct)"
Qwen,QwQ-32B,Alibaba Cloud,Mar 2025,Dense Transformer,32B,32B,32B,128K tokens,Apache 2.0,~58K/month,"Growing adoption for reasoning tasks; competitive with DeepSeek-R1 and o1-mini","Alibaba Cloud; open-source community; used in research and enterprise reasoning applications","Reinforcement Learning (RL-based reasoning, similar approach to DeepSeek-R1)","Based on Qwen2.5-32B; trained with RL to develop reasoning capabilities including chain-of-thought; subtitled 'Embracing the Power of Reinforcement Learning'","RL applied to base model to incentivize reasoning; produces extended thinking/CoT outputs; max generation length 32K tokens","Competitive with DeepSeek-R1 on reasoning benchmarks; AIME 2024: 44.0% (QwQ-32B-Preview)"
Mistral,Mistral Large 3,Mistral AI,Dec 2025,Granular MoE (Transformer + Vision Encoder),675B,41B,"675B (Large 3); also: 7B, 8x7B, 8x22B, Nemo 12B",256K tokens,Apache 2.0,Not publicly reported (model hosted on HF),"Strong enterprise adoption in Europe; Le Chat consumer chatbot launched Feb 2025; ~€30M ARR in 2024; revenue tripled within 100 days of Le Chat launch","BNP Paribas, AXA, Capgemini, Cisco, IBM, SAP, Snowflake, Orange, Stellantis, CMA CGM, SNCF, ASML, French Ministry of Defense, European Patent Office, Singapore Ministry of Defence","SFT + DPO (inferred from model documentation)","Trained from scratch on 3000 H200 GPUs; granular MoE with 2.5B vision encoder; 673B language model params + 2.5B vision","Trained on 3000 NVIDIA H200 GPUs; supports FP8, NVFP4, BF16 formats; enterprise-focused alignment","Not publicly detailed vs. closed competitors"
Gemma,Gemma 3 (27B),Google DeepMind,Mar 2025,Dense Transformer (with interleaved local/global attention),27B,27B,"270M, 1B, 4B, 12B, 27B",128K tokens (4B/12B/27B); 32K (1B/270M),Gemma Terms of Use,Not publicly reported,"Designed for consumer hardware (phones, laptops, GPUs); growing developer adoption; runs locally","Google Cloud customers; developer community; embedded AI applications; on-device inference use cases","Knowledge Distillation + SFT + RLHF","Trained with knowledge distillation from larger Gemini models; interleaved local (1024 token span) and global attention (1:5 ratio) for KV-cache efficiency; SigLIP vision encoder for multimodal","27B trained on 14T tokens; 12B on 12T tokens; 4B on 4T tokens; knowledge distillation from Gemini 2.0; 140+ language support","Competitive on standard benchmarks; designed for efficiency rather than frontier performance"
Phi,Phi-4,Microsoft Research,Dec 2024,Dense Transformer,14B,14B,14B,16K tokens,MIT License,~921K/month,"High download volume; popular for small/efficient model use cases; strong in reasoning for its size","Microsoft Azure; enterprise customers via Azure AI; research community","SFT + iterative DPO (Direct Preference Optimization)","Trained on 9.8T tokens (blend of synthetic data, filtered public web, academic books); SFT + iterative DPO for alignment; emphasis on high-quality synthetic data for reasoning","Trained on 1920 H100-80G GPUs for 21 days; iterative DPO (multiple rounds); heavy use of synthetic 'textbook-like' data for math, coding, reasoning","84.8 / 80.4 / 82.6 (Phi-4 14B)"
Falcon,Falcon 3-10B-Instruct,TII (UAE),Dec 2024,Dense Transformer (GQA),10B,10B,"1B, 3B, 7B, 10B",32K tokens,Apache 2.0,~10K/month,"Moderate adoption; primarily used in Middle East/North Africa region; open-source research community","Technology Innovation Institute (TII) Abu Dhabi; regional enterprises; government entities in UAE","SFT + alignment (details not fully published)","Uses Grouped Query Attention (GQA) with 12 query heads and 4 KV heads; wider head dimension (256); SwiGLU + RMSNorm; trained with focus on instruction following, reasoning, code, math","Technical report pending; 4 language support (English, French, Spanish, Portuguese)","73.9 MMLU / 22.1 MATH Lvl-5 / 74.7 EvalPlus"
DBRX,DBRX-Instruct,Databricks,Mar 2024,MoE (Transformer),132B,36B,132B,32K tokens,Databricks Open Model License,~2K/month,"Enterprise-focused; integrated into Databricks platform; used by Databricks customers","Databricks enterprise customers; data engineering and ML teams","SFT + alignment (details limited)","Fine-grained MoE with 16 experts, 4 active; trained by Databricks Mosaic team; designed for enterprise RAG and data workloads","Details limited; focused on enterprise retrieval and data tasks","Competitive at time of release; superseded by newer models"
